SampleID	ForeignID
MUC10399	ES_S5P_1
MUC10400	ES_IgG_1
MUC10403	ES_S5P_2
MUC10404	ES_IgG_2
MUC10407	ES_S5P_3
MUC10408	ES_IgG_3
MUC13095	ES_S2P_1
MUC13096	ES_IgG_1
MUC13099	ES_S2P_2
MUC13100	ES_IgG_2
MUC13103	ES_S2P_3
MUC13104	ES_IgG_3
MUC18080	2C_S5P_1
MUC18081	2C_IgG_1
MUC18082	2C_S5P_2
MUC18083	2C_IgG_2
MUC18084	2C_S5P_3
MUC18085	2C_IgG_3
MUC22890	2C_S5P_1
MUC22891	2C_IgG_1
MUC22892	2C_S5P_2
MUC22893	2C_IgG_2
MUC22894	2C_S5P_3
MUC22895	2C_IgG_3
MUC24021	Zy_S5P_1
MUC24022	Zy_IgG_1
MUC24023	Zy_S5P_2
MUC24024	Zy_IgG_2
MUC24025	Zy_S5P_3
MUC24026	Zy_IgG_3
MUC24027	8C_S5P_1
MUC24028	8C_IgG_1
MUC24029	8C_S5P_2
MUC24030	8C_IgG_2
MUC24031	8C_S5P_3
MUC24032	8C_IgG_3
MUC24033	ES_S5P_1
MUC24034	2C_IgG_1
MUC24035	2C_S5P_2
MUC24036	2C_IgG_2
MUC24037	2C_S5P_3
MUC24038	2C_IgG_3
MUC26800	2C_S2P_1
MUC26801	2C_IgG_1
MUC26802	2C_S2P_2
MUC26803	2C_IgG_2
MUC26804	2C_S2P_3
MUC26805	2C_IgG_3
MUC26806	Zy_S2P_1
MUC26807	Zy_IgG_1
MUC26808	Zy_S2P_2
MUC26809	Zy_IgG_2
MUC26810	Zy_S2P_3
MUC26811	Zy_IgG_3
MUC26889	Zy_S5P_1
MUC26890	Zy_IgG_1
MUC26891	Zy_S5P_2
MUC26892	Zy_IgG_2
MUC26893	Zy_S5P_3
MUC26894	Zy_IgG_3
MUC26895	2C_S5P_1
MUC26896	8C_S2P_1
MUC26897	8C_IgG_1
MUC26898	8C_S2P_2
MUC26899	8C_IgG_2
MUC26900	8C_S2P_3
MUC26901	8C_IgG_3
MUC30276	2C_S2P_1
MUC30277	2C_S2P_2
MUC30278	2C_S2P_3
MUC30279	8C_S2P_1
MUC30280	8C_S2P_2
MUC30281	8C_S2P_3
MUC30282	Zy_S2P_3
MUC30283	8C_S5P_1
MUC30284	8C_S5P_2
MUC30285	8C_S5P_3
MUC30286	2C_S5P_DRB_1
MUC30287	2C_S5P_DRB_2
MUC30288	2C_S5P_DRB_3
MUC30289	Zy_S2P_1
MUC30290	Zy_S2P_2
L008562	2C_S5P_DRB_1
L008563	2C_S5P_DRB_2
L008564	2C_S5P_DRB_3
