ID	Gene	Entrez	Cluster	Correlation
DBTMEE:0015587	Oprk1	18387	Maternal RNA	0.99083
DBTMEE:0002203	Adhfe1	76187	Maternal RNA	0.94611
DBTMEE:0020585	Tcfap2d	226896	Maternal RNA	0.964
DBTMEE:0006545	Efhc1	71877	Maternal RNA	0.98255
DBTMEE:0011079	Khdrbs2	170771	Maternal RNA	0.95557
DBTMEE:0004592	Cfc1	12627	Maternal RNA	0.99077
DBTMEE:0002816	Arhgef4	226970	Maternal RNA	0.92308
DBTMEE:0011666	Lipt1	623661	Maternal RNA	0.99889
DBTMEE:0014104	Npas2	18143	Maternal RNA	0.8853
DBTMEE:0005625	D1Bwg0212e	52846	Maternal RNA	0.9137
DBTMEE:0010580	Il1r1	16177	Maternal RNA	0.93542
DBTMEE:0010570	Il18r1	16182	Maternal RNA	0.9505
DBTMEE:0010571	Il18rap	16174	Maternal RNA	0.99054
DBTMEE:0019239	Slc9a4	110895	Maternal RNA	0.98504
DBTMEE:0009767	Gulp1	70676	Maternal RNA	0.99853
DBTMEE:0019981	Stat1	20846	Maternal RNA	0.98311
DBTMEE:0020915	Tmem194b	227094	Maternal RNA	0.93612
DBTMEE:0016407	Plcl1	227120	Maternal RNA	0.9756
DBTMEE:0019701	Spats2l	67198	Maternal RNA	0.9988
DBTMEE:0004430	Cdk15	271697	Maternal RNA	0.94907
DBTMEE:0009313	Gm973	381260	Maternal RNA	0.9401
DBTMEE:0021855	Unc80	329178	Maternal RNA	0.98588
DBTMEE:0022678	Xrcc5	22596	Maternal RNA	0.96153
DBTMEE:0019312	Smarcal1	54380	Maternal RNA	0.96691
DBTMEE:0009447	Gpbar1	227289	Maternal RNA	0.94712
DBTMEE:0022028	Vil1	22349	Maternal RNA	0.95036
DBTMEE:0020021	Stk36	269209	Maternal RNA	0.9763
DBTMEE:0005478	Cyp27a1	104086	Maternal RNA	0.91626
DBTMEE:0009350	Gmppa	69080	Maternal RNA	0.85403
DBTMEE:0020917	Tmem198	319998	Maternal RNA	0.96688
DBTMEE:0018723	Sgpp2	433323	Maternal RNA	0.98493
DBTMEE:0003203	B3gnt7	227327	Maternal RNA	0.97439
DBTMEE:0010672	Inpp5d	16331	Maternal RNA	0.81338
DBTMEE:0009955	Heatr7b1	100040766	Maternal RNA	0.91159
DBTMEE:0005062	Cops8	108679	Maternal RNA	0.97603
DBTMEE:0013099	Mlph	171531	Maternal RNA	0.95635
DBTMEE:0011193	Klhl30	70788	Maternal RNA	0.96967
DBTMEE:0009450	Gpc1	14733	Maternal RNA	0.98603
DBTMEE:0007304	Farp2	227377	Maternal RNA	0.83656
DBTMEE:0007123	Fam174a	67698	Maternal RNA	0.83058
DBTMEE:0022808	Zcchc2	227449	Maternal RNA	0.96247
DBTMEE:0016205	Phlpp1	98432	Maternal RNA	0.92703
DBTMEE:0018609	Serpinb12	71869	Maternal RNA	0.99362
DBTMEE:0004415	Cdh7	241201	Maternal RNA	0.94759
DBTMEE:0000795	3110009E18Rik	73103	Maternal RNA	0.93391
DBTMEE:0017355	Rab3gap1	226407	Maternal RNA	0.9646
DBTMEE:0016250	Pigr	18703	Maternal RNA	0.93078
DBTMEE:0005362	Ctse	13034	Maternal RNA	0.91769
DBTMEE:0019044	Slc26a9	320718	Maternal RNA	0.9514
DBTMEE:0016494	Pm20d1	212933	Maternal RNA	0.90282
DBTMEE:0019160	Slc45a3	212980	Maternal RNA	0.95702
DBTMEE:0020219	Syt2	20980	Maternal RNA	0.99627
DBTMEE:0002858	Arl8a	68724	Maternal RNA	0.98984
DBTMEE:0021044	Tmem9	66241	Maternal RNA	0.97349
DBTMEE:0002967	Aspm	12316	Maternal RNA	0.99881
DBTMEE:0003189	B3galt2	26878	Maternal RNA	0.8993
DBTMEE:0017171	Ptgs2	19225	Maternal RNA	0.9959
DBTMEE:0014039	Nmnat2	226518	Maternal RNA	0.92119
DBTMEE:0002975	Astn1	11899	Maternal RNA	0.9499
DBTMEE:0018634	Serpinc1	11905	Maternal RNA	0.99988
DBTMEE:0006979	F5	14067	Maternal RNA	0.93596
DBTMEE:0002182	Adcy10	271639	Maternal RNA	0.85327
DBTMEE:0007263	Fam78b	226610	Maternal RNA	0.93947
DBTMEE:0007422	Fcgr4	246256	Maternal RNA	0.99734
DBTMEE:0005867	Dedd	21945	Maternal RNA	0.99981
DBTMEE:0004286	Cd244	18106	Maternal RNA	0.9581
DBTMEE:0004321	Cd48	12506	Maternal RNA	0.99875
DBTMEE:0010525	Igsf8	140559	Maternal RNA	0.93965
DBTMEE:0004087	Ccdc19	71870	Maternal RNA	0.98018
DBTMEE:0017276	Pydc3	100033459	Maternal RNA	0.97098
DBTMEE:0006531	Efcab2	68226	Maternal RNA	0.97877
DBTMEE:0004371	Cdc42bpa	226751	Maternal RNA	0.96628
DBTMEE:0001994	Acbd3	170760	Maternal RNA	0.97159
DBTMEE:0011561	Lefty2	320202	Maternal RNA	0.90553
DBTMEE:0017274	Pycr2	69051	Maternal RNA	0.98823
DBTMEE:0001551	9130409I23Rik	619326	Maternal RNA	0.91876
DBTMEE:0017198	Ptpn14	19250	Maternal RNA	0.96062
DBTMEE:0000243	1700022P22Rik	75558	Maternal RNA	0.99606
DBTMEE:0003393	Batf3	381319	Maternal RNA	0.96348
DBTMEE:0010959	Kcnh1	16510	Maternal RNA	0.99149
DBTMEE:0016486	Plxna2	18845	Maternal RNA	0.96237
DBTMEE:0022645	Xkr4	497097	Maternal RNA	0.99576
DBTMEE:0019623	Sox17	20671	Maternal RNA	0.96656
DBTMEE:0021420	Trpa1	277328	Maternal RNA	0.9944
DBTMEE:0021736	Ube2w	66799	Maternal RNA	0.9588
DBTMEE:0010562	Il17f	257630	Maternal RNA	0.95943
DBTMEE:0021268	Tram2	170829	Maternal RNA	0.9835
DBTMEE:0000061	1110058L19Rik	68002	Maternal RNA	0.99458
DBTMEE:0003372	Bai3	210933	Maternal RNA	0.9845
DBTMEE:0004030	Ccdc115	69668	Maternal RNA	0.97843
DBTMEE:0011677	Lman2l	214895	Maternal RNA	0.97369
DBTMEE:0004702	Chst10	98388	Maternal RNA	0.97304
DBTMEE:0017704	Rfx8	619289	Maternal RNA	0.94723
DBTMEE:0012379	Mfsd9	211798	Maternal RNA	0.94725
DBTMEE:0021973	Uxs1	67883	Maternal RNA	0.99264
DBTMEE:0011047	Kdelc1	72050	Maternal RNA	0.97228
DBTMEE:0000216	1700019D03Rik	67080	Maternal RNA	0.99116
DBTMEE:0016509	Pms1	227099	Maternal RNA	0.91876
DBTMEE:0020959	Als2cr4	381259	Maternal RNA	0.99472
DBTMEE:0010393	Ica1l	70375	Maternal RNA	0.96507
DBTMEE:0009473	Gpr1	241070	Maternal RNA	0.99453
DBTMEE:0011464	Lancl1	14768	Maternal RNA	0.92434
DBTMEE:0006834	Erbb4	13869	Maternal RNA	0.98151
DBTMEE:0001889	Abca12	74591	Maternal RNA	0.96845
DBTMEE:0016065	Pecr	111175	Maternal RNA	0.99919
DBTMEE:0017940	Rnf25	57751	Maternal RNA	0.99414
DBTMEE:0021601	Tuba4a	22145	Maternal RNA	0.99017
DBTMEE:0004673	Chpf	74241	Maternal RNA	0.93735
DBTMEE:0006793	Epha4	13838	Maternal RNA	0.97929
DBTMEE:0015817	Pax3	18505	Maternal RNA	0.99534
DBTMEE:0018637	Serpine2	20720	Maternal RNA	0.93246
DBTMEE:0007059	Fam124b	241128	Maternal RNA	0.99654
DBTMEE:0006199	Dock10	210293	Maternal RNA	0.97916
DBTMEE:0015995	Pde6d	18582	Maternal RNA	0.96857
DBTMEE:0013923	Ngef	53972	Maternal RNA	0.95896
DBTMEE:0007916	Gbx2	14472	Maternal RNA	0.99561
DBTMEE:0009991	Hes6	55927	Maternal RNA	0.99906
DBTMEE:0013782	Ndufa10	67273	Maternal RNA	0.86204
DBTMEE:0015962	Pdcd1	18566	Maternal RNA	0.99794
DBTMEE:0015749	Pam	18484	Maternal RNA	0.90836
DBTMEE:0020876	Tmem163	72160	Maternal RNA	0.97701
DBTMEE:0011539	Lct	226413	Maternal RNA	0.98667
DBTMEE:0005427	Cxcr4	12767	Maternal RNA	0.95352
DBTMEE:0004325	Cd55	13136	Maternal RNA	0.97309
DBTMEE:0003754	C4bp	12269	Maternal RNA	0.94528
DBTMEE:0010589	Il20	58181	Maternal RNA	0.97287
DBTMEE:0006660	Elf3	13710	Maternal RNA	0.96016
DBTMEE:0018786	Shisa4	77552	Maternal RNA	0.98564
DBTMEE:0010714	Ipo9	226432	Maternal RNA	0.94707
DBTMEE:0010512	Igfn1	226438	Maternal RNA	0.95154
DBTMEE:0009530	Gpr25	383563	Maternal RNA	0.93129
DBTMEE:0005171	Crb1	170788	Maternal RNA	0.99885
DBTMEE:0017729	Rgs2	19735	Maternal RNA	0.94775
DBTMEE:0016845	Prg4	96875	Maternal RNA	0.98937
DBTMEE:0017710	Rgl1	19731	Maternal RNA	0.94313
DBTMEE:0011454	Lamc2	16782	Maternal RNA	0.94481
DBTMEE:0001447	5830403L16Rik	240817	Maternal RNA	0.98474
DBTMEE:0007236	Fam5b	240843	Maternal RNA	0.98306
DBTMEE:0001502	7420461P10Rik	100038657	Maternal RNA	0.94916
DBTMEE:0007579	Fmo2	55990	Maternal RNA	0.99363
DBTMEE:0007583	Fmo6	226565	Maternal RNA	0.98557
DBTMEE:0007580	Fmo3	14262	Maternal RNA	0.94329
DBTMEE:0022637	Xcl1	16963	Maternal RNA	0.94187
DBTMEE:0018695	Sft2d2	108735	Maternal RNA	0.95234
DBTMEE:0013225	Mpzl1	68481	Maternal RNA	0.99459
DBTMEE:0017609	Rcsd1	226594	Maternal RNA	0.9603
DBTMEE:0016631	Pou2f1	18986	Maternal RNA	0.97919
DBTMEE:0011978	Mael	98558	Maternal RNA	0.94614
DBTMEE:0006332	Dusp12	80915	Maternal RNA	0.94524
DBTMEE:0018463	Sdhc	66052	Maternal RNA	0.98896
DBTMEE:0016705	Ppox	19044	Maternal RNA	0.92159
DBTMEE:0013761	Ncstn	59287	Maternal RNA	0.94558
DBTMEE:0007414	Fcer1a	14125	Maternal RNA	0.99642
DBTMEE:0003836	Cadm3	94332	Maternal RNA	0.94796
DBTMEE:0009611	Grem2	23893	Maternal RNA	0.97427
DBTMEE:0017736	Rgs7	24012	Maternal RNA	0.96888
DBTMEE:0015583	Opn3	13603	Maternal RNA	0.96526
DBTMEE:0002237	Adss	11566	Maternal RNA	0.96208
DBTMEE:0017060	Psen2	19165	Maternal RNA	0.99931
DBTMEE:0007367	Fbxo28	67948	Maternal RNA	0.99554
DBTMEE:0000355	1700056E22Rik	73363	Maternal RNA	0.94983
DBTMEE:0019672	Spata17	74717	Maternal RNA	0.99874
